name.or.i.	Sequence	Group
Trichoderma_reesii_Trire2_68204_A1_1	Tr_Trire2_68204_A1_1	ChNPS11/ETP Mod 2
Trichoderma_reesii_Trire2_69946_A1_3	Tr_Trire2_69946_A1_3	SID
Trichoderma_reesii_Trire2_69946_A2_3	Tr_Trire2_69946_A2_3	SID
Trichoderma_reesii_Trire2_69946_A3_3	Tr_Trire2_69946_A3_3	SID
Ustilago_maydis_AAR_UM01697.1_A1_1	Um_AAR_UM01697.1_A1_1	AAR
Ustilago_maydis_ACL_UM01171.1_A1_1	Um_ACL_UM01171.1_A1_1	Outgroups
Ustilago_maydis_ACOAS_UM03069.1_A1_1	Um_ACOAS_UM03069.1_A1_1	Outgroups
Ustilago_maydis_LCFAL_UM04803.1_A1_1	Um_LCFAL_UM04803.1_A1_1	Outgroups
Ustilago_maydis_NPS10_UM03108.1_A1_1	Um_NPS10_UM03108.1_A1_1	ChNPS10
Ustilago_maydis_UM05245.1_A1_3	Um_UM05245.1_A1_3	NA
Ustilago_maydis_UM05245.1_A2_3	Um_UM05245.1_A2_3	NA
Ustilago_maydis_UM05245.1_A3_3	Um_UM05245.1_A3_3	NA
Ustilago_maydis_fer3_UM01434.1_A1_3	Um_fer3_UM01434.1_A1_3	SID
Ustilago_maydis_fer3_UM01434.1_A2_3	Um_fer3_UM01434.1_A2_3	SID
Ustilago_maydis_fer3_UM01434.1_A3_3	Um_fer3_UM01434.1_A3_3	SID
Ustilago_maydis_sid2_UM05165.1_A1_3	Um_sid2_UM05165.1_A1_3	SID
Ustilago_maydis_sid2_UM05165.1_A2_3	Um_sid2_UM05165.1_A2_3	SID
Ustilago_maydis_sid2_UM05165.1_A3_3	Um_sid2_UM05165.1_A3_3	SID
Yersinia_pestis_ACOAS_NP_403903.1_A1_1	Yp_ACOAS_NP_403903.1_A1_1	Outgroups
Yersinia_pestis_HMWP2_AAC69587.1_A1_1	Yp_HMWP2_AAC69587.1_A1_1	Bact
Yersinia_pestis_ybtE_AAC69591.1_A1_1	Yp_ybtE_AAC69591.1_A1_1	Outgroups
